dataset,split,model,iid_test_mae,iid_test_rmse,iid_test_r2,ood_val_mae,ood_val_r2,ood_test_mae,ood_test_rmse,ood_test_r2,mae_ratio,rmse_ratio,delta_r2,val_ratio,val_test_gap,is_small_dataset,units
log_gvrh,elements,coNGN,0.071359,0.113977,0.901569,0.073125,0.90543,0.099456,0.141579,0.863402,1.3937,1.2422,0.0382,1.0248,0.369,0,log(GPa)
log_gvrh,periodictablegroups,coGN,0.074402,0.115405,0.899086,0.074631,0.891624,0.129966,0.170192,0.713826,1.7468,1.4747,0.1853,1.0031,0.7437,0,log(GPa)
log_gvrh,periodictablegroups,coNGN,0.071359,0.113977,0.901569,0.072864,0.89537,0.111493,0.148654,0.781675,1.5624,1.3042,0.1199,1.0211,0.5413,0,log(GPa)
log_gvrh,pointgroup,coGN,0.074402,0.115405,0.899086,0.073778,0.90256,0.102744,0.150327,0.853408,1.3809,1.3026,0.0457,0.9916,0.3893,0,log(GPa)
log_gvrh,pointgroup,coNGN,0.071359,0.113977,0.901569,0.068972,0.912664,0.0901,0.128209,0.893372,1.2626,1.1249,0.0082,0.9666,0.2961,0,log(GPa)
log_gvrh,sgnum,coGN,0.074402,0.115405,0.899086,0.072817,0.912897,0.10967,0.155098,0.828055,1.474,1.3439,0.071,0.9787,0.4953,0,log(GPa)
log_gvrh,sgnum,coNGN,0.071359,0.113977,0.901569,0.070292,0.914737,0.099506,0.144881,0.849963,1.3944,1.2711,0.0516,0.985,0.4094,0,log(GPa)
log_kvrh,chemsys,coGN,0.059681,0.121106,0.895832,0.062327,0.880686,0.057336,0.112484,0.905968,0.9607,0.9288,-0.0101,1.0443,-0.0836,0,log(GPa)
log_kvrh,chemsys,coNGN,0.05067,0.108745,0.916012,0.052855,0.901863,0.049152,0.099702,0.926124,0.97,0.9168,-0.0101,1.0431,-0.0731,0,log(GPa)
log_kvrh,composition,coGN,0.059681,0.121106,0.895832,0.054673,0.910441,0.060518,0.113687,0.909547,1.014,0.9387,-0.0137,0.9161,0.0979,0,log(GPa)
log_kvrh,composition,coNGN,0.05067,0.108745,0.916012,0.050522,0.907815,0.053202,0.105263,0.922455,1.05,0.968,-0.0064,0.9971,0.0529,0,log(GPa)
log_kvrh,crystalsys,coGN,0.059681,0.121106,0.895832,0.057743,0.914866,0.065392,0.111859,0.92173,1.0957,0.9236,-0.0259,0.9675,0.1282,0,log(GPa)
log_kvrh,crystalsys,coNGN,0.05067,0.108745,0.916012,0.049702,0.925374,0.052487,0.087591,0.952007,1.0358,0.8055,-0.036,0.9809,0.055,0,log(GPa)
