dataset,split,model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_rmse_mae_ratio,train_test_mae_ratio,n_train,n_val,n_test,epochs,train_time_h,units,is_small_dataset
mp_e_form,sgnum,coNGN,0.000505,0.007081,0.999959,0.019555,0.062676,0.996861,0.058599,0.180466,0.982607,3.0797,0.0086,96544,13791,22386,600,28.5402,eV/atom,0
mp_gap,chemsys,coGN,0.004155,0.046807,0.999154,0.188378,0.468593,0.915018,0.228972,0.51538,0.890676,2.2508,0.0181,73807,10543,21739,800,3.3293,eV,0
mp_gap,chemsys,coNGN,0.008911,0.083929,0.99728,0.191327,0.467475,0.915423,0.224712,0.514845,0.890903,2.2911,0.0397,73807,10543,21739,600,22.5499,eV,0
mp_gap,composition,coGN,0.005184,0.062692,0.99845,0.188594,0.465207,0.910967,0.233671,0.577347,0.876399,2.4708,0.0222,74538,10645,20906,800,3.2409,eV,0
mp_gap,composition,coNGN,0.009983,0.091181,0.996721,0.194378,0.47904,0.905593,0.231726,0.585854,0.872729,2.5282,0.0431,74538,10645,20906,600,22.6851,eV,0
mp_gap,crystalsys,coGN,0.004408,0.0512,0.99898,0.176005,0.438923,0.923695,0.328838,0.636026,0.837355,1.9342,0.0134,84159,12024,9906,800,3.9978,eV,0
mp_gap,crystalsys,coNGN,0.005687,0.070675,0.998056,0.169677,0.429578,0.926909,0.304279,0.618743,0.846075,2.0335,0.0187,84159,12024,9906,600,25.9848,eV,0
mp_gap,elements,coGN,0.004744,0.057148,0.998679,0.181835,0.451514,0.91982,0.481533,0.901309,0.714927,1.8718,0.0099,73897,10556,21636,800,3.0561,eV,0
mp_gap,elements,coNGN,0.00814,0.084004,0.997146,0.172657,0.429752,0.927362,0.485509,0.942772,0.688095,1.9418,0.0168,73897,10556,21636,600,23.0304,eV,0
mp_gap,index,coGN,0.004261,0.047065,0.999134,0.192022,0.47389,0.91253,0.197162,0.476181,0.911051,2.4152,0.0216,74267,10608,21214,800,3.348,eV,0
mp_gap,index,coNGN,0.008231,0.087723,0.996991,0.192499,0.478334,0.910882,0.200114,0.496574,0.903269,2.4815,0.0411,74267,10608,21214,600,22.4927,eV,0
mp_gap,periodictablegroups,coGN,0.004561,0.05558,0.99888,0.196322,0.468426,0.918271,0.428679,0.857115,0.576918,1.9994,0.0106,70463,10068,25558,800,2.9157,eV,0
mp_gap,periodictablegroups,coNGN,0.007083,0.082295,0.997545,0.192439,0.467929,0.918444,0.485034,0.950036,0.480211,1.9587,0.0146,70463,10068,25558,600,22.1192,eV,0
mp_gap,pointgroup,coGN,0.004006,0.039039,0.999407,0.175267,0.449669,0.92226,0.31235,0.62253,0.84209,1.9931,0.0128,75301,10753,20035,800,2.9487,eV,0
mp_gap,pointgroup,coNGN,0.008035,0.100371,0.99608,0.176104,0.462762,0.917667,0.298768,0.609144,0.848808,2.0389,0.0269,75301,10753,20035,600,18.1197,eV,0
mp_gap,sgnum,coGN,0.004012,0.049013,0.999063,0.179488,0.441588,0.922494,0.29347,0.633171,0.842796,2.1575,0.0137,74732,10677,20680,800,3.2534,eV,0
mp_gap,sgnum,coNGN,0.007864,0.081139,0.997433,0.185998,0.471147,0.911771,0.293072,0.641729,0.838518,2.1897,0.0268,74732,10677,20680,600,22.4033,eV,0
perovskites,chemsys,coGN,0.000476,0.001746,0.999994,0.030113,0.063455,0.992979,0.026911,0.046024,0.996077,1.7102,0.0177,13249,1892,3787,800,0.8501,eV/unit cell,0
perovskites,chemsys,coNGN,0.000772,0.001707,0.999995,0.031643,0.063109,0.993055,0.029472,0.048883,0.995575,1.6586,0.0262,13249,1892,3787,600,1.6224,eV/unit cell,0
perovskites,composition,coGN,0.000424,0.000547,0.999999,0.028943,0.053127,0.994671,0.030429,0.065574,0.9923,2.155,0.0139,13259,1894,3775,800,0.8414,eV/unit cell,0
perovskites,composition,coNGN,0.000377,0.000497,1.0,0.030838,0.05759,0.993738,0.032059,0.065588,0.992297,2.0458,0.0118,13259,1894,3775,600,1.0535,eV/unit cell,0
perovskites,crystalsys,coGN,0.000352,0.000461,1.0,0.025342,0.0483,0.99468,0.088396,0.130277,0.980394,1.4738,0.004,13837,1976,3115,800,0.4438,eV/unit cell,0
perovskites,crystalsys,coNGN,0.000404,0.000517,0.999999,0.028876,0.055609,0.992948,0.09113,0.128444,0.980942,1.4095,0.0044,13837,1976,3115,600,1.1571,eV/unit cell,0
perovskites,elements,coGN,0.000372,0.000488,1.0,0.028543,0.060152,0.993258,0.358438,0.455699,0.693902,1.2713,0.001,12961,1851,4116,800,0.3874,eV/unit cell,0
perovskites,elements,coNGN,0.000413,0.000784,0.999999,0.032108,0.063463,0.992495,0.329953,0.412889,0.748712,1.2514,0.0013,12961,1851,4116,600,1.0349,eV/unit cell,0
perovskites,index,coGN,0.00046,0.000643,0.999999,0.029443,0.066843,0.991538,0.02848,0.057274,0.993779,2.011,0.0162,13251,1892,3785,800,0.8754,eV/unit cell,0
perovskites,index,coNGN,0.000542,0.000724,0.999999,0.031002,0.062309,0.992647,0.030615,0.060115,0.993146,1.9636,0.0177,13251,1892,3785,600,1.6307,eV/unit cell,0
perovskites,periodictablegroups,coGN,0.000416,0.000533,1.0,0.026211,0.050457,0.995596,0.361012,0.452539,0.536712,1.2535,0.0012,12961,1851,4116,800,0.3961,eV/unit cell,0
perovskites,periodictablegroups,coNGN,0.000408,0.000524,1.0,0.029618,0.053053,0.995131,0.338656,0.425714,0.590009,1.2571,0.0012,12961,1851,4116,600,1.0421,eV/unit cell,0
perovskites,pointgroup,coGN,0.000433,0.000638,0.999999,0.030751,0.068641,0.992353,0.107468,0.1404,0.936783,1.3064,0.004,13378,1911,3639,800,0.4217,eV/unit cell,0
perovskites,pointgroup,coNGN,0.000443,0.000625,0.999999,0.034369,0.072711,0.99142,0.102764,0.135112,0.941455,1.3148,0.0043,13378,1911,3639,600,1.0936,eV/unit cell,0
perovskites,sgnum,coGN,0.000413,0.001892,0.999994,0.031187,0.073883,0.990376,0.098318,0.126722,0.9485,1.2889,0.0042,13378,1911,3639,800,0.4186,eV/unit cell,0
perovskites,sgnum,coNGN,0.00049,0.001876,0.999994,0.033566,0.070697,0.991188,0.090904,0.121103,0.952966,1.3322,0.0054,13378,1911,3639,600,1.1024,eV/unit cell,0
phonons,chemsys,coGN,0.735052,1.330648,0.999993,34.951523,55.175422,0.986577,43.157951,69.380641,0.978447,1.6076,0.017,885,126,254,800,0.091,cm⁻¹,0
phonons,chemsys,coNGN,0.290785,0.405216,0.999999,29.105646,53.40621,0.987424,36.268473,66.252997,0.980346,1.8267,0.008,885,126,254,600,0.1607,cm⁻¹,0
phonons,composition,coGN,0.742389,3.087302,0.999961,46.477045,117.980002,0.937429,46.756843,114.162846,0.947213,2.4416,0.0159,888,126,251,800,0.0858,cm⁻¹,0
