dataset,split,model,set,mean_signed_error,rmse_mae_ratio,p90_abs_error,p95_abs_error,frac_within_2mae,n_loaded
perovskites,composition,coGN,val,-0.001453,1.8356,0.05814,0.078638,0.8992,1894
perovskites,composition,coGN,test,-0.000947,2.155,0.06015,0.088037,0.9017,3775
perovskites,composition,coNGN,train,-8.5e-05,1.3146,0.000805,0.00101,0.8798,5000
perovskites,composition,coNGN,val,-0.001924,1.8675,0.064217,0.087844,0.8944,1894
perovskites,composition,coNGN,test,-0.001996,2.0458,0.064084,0.091106,0.9001,3775
perovskites,crystalsys,coGN,train,7.9e-05,1.3125,0.000744,0.000934,0.8802,5000
perovskites,crystalsys,coGN,val,0.000981,1.906,0.051014,0.073263,0.8998,1976
perovskites,crystalsys,coGN,test,-0.010161,1.4738,0.194314,0.268421,0.8815,3115
perovskites,crystalsys,coNGN,train,-0.000153,1.279,0.000834,0.001029,0.894,5000
perovskites,crystalsys,coNGN,val,0.001238,1.9258,0.059619,0.086548,0.8947,1976
perovskites,crystalsys,coNGN,test,-0.023161,1.4095,0.197795,0.256751,0.879,3115
perovskites,elements,coGN,train,-4.7e-05,1.3088,0.000769,0.000957,0.8864,5000
perovskites,elements,coGN,val,-0.000557,2.1075,0.05714,0.080659,0.8995,1851
perovskites,elements,coGN,test,0.01677,1.2713,0.746724,0.940593,0.8868,4116
perovskites,elements,coNGN,train,-0.000161,2.5804,0.000845,0.001022,0.8946,5000
perovskites,elements,coNGN,val,-0.001181,1.9765,0.066466,0.091905,0.8952,1851
perovskites,elements,coNGN,test,-0.008201,1.2514,0.689566,0.848365,0.887,4116
perovskites,index,coGN,train,0.000152,1.3886,0.000976,0.001326,0.88,5000
perovskites,index,coGN,val,-0.001202,2.2702,0.057697,0.086927,0.9033,1892
perovskites,index,coGN,test,-0.00109,2.011,0.057021,0.080392,0.8996,3785
perovskites,index,coNGN,train,-0.000388,1.3331,0.00115,0.001395,0.8824,5000
perovskites,index,coNGN,val,-0.001067,2.0099,0.05986,0.087669,0.9033,1892
perovskites,index,coNGN,test,-0.002982,1.9636,0.064043,0.092247,0.8914,3785
perovskites,periodictablegroups,coGN,train,0.000205,1.284,0.000871,0.001073,0.8904,5000
perovskites,periodictablegroups,coGN,val,-0.00037,1.9251,0.054104,0.074824,0.8979,1851
perovskites,periodictablegroups,coGN,test,0.081456,1.2535,0.748719,0.915095,0.8848,4116
perovskites,periodictablegroups,coNGN,train,-0.000117,1.2826,0.000846,0.001044,0.8878,5000
perovskites,periodictablegroups,coNGN,val,-0.002036,1.7912,0.064539,0.092249,0.8855,1851
perovskites,periodictablegroups,coNGN,test,0.078457,1.2571,0.70573,0.857292,0.8805,4116
perovskites,pointgroup,coGN,train,-6e-06,1.608,0.000929,0.001167,0.8868,5000
perovskites,pointgroup,coGN,val,-0.002214,2.2321,0.057778,0.098739,0.9074,1911
perovskites,pointgroup,coGN,test,0.080726,1.3064,0.241978,0.280435,0.8557,3639
perovskites,pointgroup,coNGN,train,-0.000263,1.4335,0.000904,0.001113,0.896,5000
perovskites,pointgroup,coNGN,val,-0.002392,2.1156,0.067454,0.107006,0.9027,1911
perovskites,pointgroup,coNGN,test,0.061661,1.3148,0.232239,0.281606,0.864,3639
perovskites,sgnum,coGN,train,-0.0001,1.3987,0.000826,0.001033,0.8908,5000
perovskites,sgnum,coGN,val,-0.002874,2.369,0.061059,0.088153,0.9048,1911
perovskites,sgnum,coGN,test,0.070943,1.2889,0.215049,0.251511,0.8653,3639
perovskites,sgnum,coNGN,train,-0.000101,1.3868,0.000981,0.001291,0.8872,5000
perovskites,sgnum,coNGN,val,-0.003816,2.1062,0.067976,0.099017,0.8985,1911
perovskites,sgnum,coNGN,test,0.042676,1.3322,0.206079,0.249741,0.8596,3639
phonons,chemsys,coGN,train,0.240516,1.8103,1.638209,2.432124,0.8836,885
phonons,chemsys,coGN,val,-4.988368,1.5786,69.063009,123.875043,0.9048,126
phonons,chemsys,coGN,test,6.212828,1.6076,112.416583,160.583013,0.8425,254
phonons,chemsys,coNGN,train,-0.037134,1.3935,0.608686,0.767878,0.8927,885
phonons,chemsys,coNGN,val,-1.832537,1.8349,59.110008,86.7118,0.8889,126
phonons,chemsys,coNGN,test,3.395395,1.8267,87.625817,130.271626,0.8701,254
