dataset,split,model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,n_train,n_val,n_test,epochs,train_time_h,units
mp_e_form,crystalsys,coNGN,0.0004641812658461335,0.00741542015421318,0.9999582960592268,0.019424300928272485,0.047753675009001594,0.9982950928797901,0.04672691281019849,0.12108294710489517,0.989179853347975,92710,13245,26766,600,29.8506,eV/atom
mp_e_form,elements,coGN,0.0009061648902696069,0.006705059745552458,0.999959717715311,0.019521275740270568,0.05056141358132474,0.9977466973515198,0.059489207285043054,0.11413465594970458,0.9860009738783199,74445,10632,47641,800,3.7863,eV/atom
mp_e_form,elements,coNGN,0.00041976228827674293,0.004322044539562314,0.999983262628083,0.018332385037722304,0.05072306969501659,0.9977322656956881,0.062246237321101995,0.12237667340666412,0.9839061465299301,74445,10632,47641,600,26.6114,eV/atom
mp_e_form,index,coGN,0.0010179279582836348,0.00902994448172805,0.9999396365237937,0.02195590194214838,0.05359963967639251,0.9978448214013441,0.021615531437633336,0.05264342219472934,0.9979741768256595,92902,13272,26547,800,3.7142,eV/atom
mp_e_form,index,coNGN,0.0005181282653105588,0.007848963584840012,0.9999543932935768,0.022169232086797105,0.060957557061299544,0.9972125015588043,0.0215169707378643,0.05357540196939929,0.9979018130390019,92902,13272,26547,600,27.1507,eV/atom
mp_e_form,periodictablegroups,coGN,0.0011215318815100805,0.008688128580424599,0.9999421206108732,0.021313316203080784,0.059426162247508574,0.9973021248120998,0.21983854039828982,0.3419736015022541,0.9216609608848745,87327,12477,32917,800,3.8586,eV/atom
mp_e_form,periodictablegroups,coNGN,0.000500947494455722,0.006910398307641721,0.999963383433357,0.02133917090099964,0.06658981374584227,0.9966124783024564,0.22584258643468805,0.35929599768351533,0.9135235535651288,87327,12477,32917,600,24.0833,eV/atom
mp_e_form,pointgroup,coGN,0.0009759283133118291,0.009716100583414542,0.9999303019806244,0.021270913145368227,0.050933484465510284,0.9981157211375511,0.021706458078830638,0.04859048078574222,0.9980604270373152,93409,13346,25966,800,4.1499,eV/atom
mp_e_form,pointgroup,coNGN,0.0004958865372958444,0.007466280042647642,0.9999588428794196,0.021675432683567537,0.0539529876569087,0.9978856864279726,0.021478623648776243,0.04849089761070388,0.9980683689595785,93409,13346,25966,600,20.996,eV/atom
mp_e_form,sgnum,coGN,0.0010772752437630346,0.008294014847436266,0.9999442948542167,0.02076903293129945,0.06527394831415738,0.9965957923203347,0.057174765653880515,0.1497227117926968,0.9880279762766538,96544,13791,22386,800,3.8632,eV/atom
